Paper,Authors,Year of publication,Year of announcement,Venue,Awarded By
A Language Modeling Approach to Information Retrieval,J. M. Ponte & W. B. Croft,1998,2014,SIGIR,SIGIR
Improved Algorithms for Topic Distillation in a Hyperlinked Environment,K. Bharat & M. R. Henzinger,1998,2014,SIGIR,SIGIR
On-line New Event Detection and Tracking,"J. Allan, R. Papka & V. Lavrenko",1998,2014,SIGIR,SIGIR
"The use of MMR, Diversity-based Reranking for Reordering Documents and Producing Summaries",J. Carbonell & J. Goldstein,1998,2014,SIGIR,SIGIR
An Algorithmic Framework for Performing Collaborative Filtering,"J. L. Herlocker, J. A. Konstan, A. Borchers & J. Riedl",1999,2014,SIGIR,SIGIR
Information Retrieval as Statistical Translation,A. Berger & J. Lafferty,1999,2014,SIGIR,SIGIR
Probabilistic Latent Semantic Indexing,T. Hofman,1999,2014,SIGIR,SIGIR
Evaluating Evaluation Measure Stability,C. Buckley & E. M. Voorhees,2000,2014,SIGIR,SIGIR
IR Evaluation Methods for Retrieving Highly Relevant Documents,K. Järvelin & J. Kekäläinen,2000,2014,SIGIR,SIGIR
A Study of Smoothing Methods for Language Models applied to Ad Hoc Information Retrieval,C. Zhai & J. Lafferty,2001,2014,SIGIR,SIGIR
"Document Language Models, Query Models and Risk Minimization for Information Retrieval",J. Lafferty & C. Zhai,2001,2014,SIGIR,SIGIR
Relevance based Language Models,V. Lavrenko & W. B. Croft,2001,2014,SIGIR,SIGIR
 Space-time interest points,Laptev and T Lindeberg,2003,2017,ICCV,ICCV
Recognizing action at a distance,"A. Efros, A Berg, G Mori, J Malik,",2003,2017,ICCV,ICCV
Video Google: A text retrieval approach to object matching in videos,"J Sivic, A Zisserman",2003,2017,ICCV,ICCV
Recognising panoramas,"M Brown, D Lowe",2003,2017,ICCV,ICCV
Discovering objects and their location in images,"J Sivic, B Russell, A Efros, A Zisserman, W Freeman",2003,2017,ICCV,ICCV
The pyramid match kernel: Discriminative classification with sets of image features,"K Grauman, T Darrell",2005,2017,ICCV,ICCV
Actions as space-time shapes,"M. Blank, L Gorelick, E Shechtman, M Irani, R Basri",2005,2017,ICCV,ICCV
A Database of Human Segmented Natural Images and Its Application to Evaluating Segmentation Algorithms and Measuring Ecological Statistics,"David Martin, Charles Fowlkes, Doron Tal, and Jitendra Malik",2001,2016,ICCV,ICCV
Matching Shapes,"Serge Belongie, Jitendra Malik, and Jan Puzicha",2001,2016,ICCV,ICCV
Snakes: Active Contour Models,"Michael Kass, Andrew Witkin and Demetri Terzopoulos",1987,2013,ICCV ,ICCV
Indexing via color histograms,Michael J. Swain and Dana H. Ballard,1990,2013,ICCV ,ICCV
"Steerable filters for early vision, image analysis, and wavelet decomposition",Bill Freeman and Ted Adelson,1990,2013,ICCV ,ICCV
A framework for the robust estimation of optical flow,Michael Black and P. Anandan,1993,2013,ICCV ,ICCV
Alignment by Maximization of Mutual Information,Paul Viola and William M. Wells III,1995,2013,ICCV ,ICCV
In Defence of the 8-Point Algorithm,Richard Hartley,1995,2013,ICCV ,ICCV
Bilateral Filtering for Gray and Color Images,Carlo Tomasi and Roberto Manduchi,1998,2013,ICCV ,ICCV
A Metric for Distributions with Applications to Image Databases,"Yossi Rubner, Carlo Tomasi and Leonidas J. Guibas",1998,2013,ICCV ,ICCV
"Region Competition: Unifying Snakes, Region Growing, Energy/Bayes/MDL for Multi-band Image Segmentation",,1995,2013,ICCV ,ICCV
Flexible Camera Calibration by Viewing a Plane from Unknown Orientations,Zhengyou Zhang,1999,2013,ICCV ,ICCV
Texture Synthesis by Non-parametric Sampling,Alyosha Efros and Thomas K. Leung,1999,2013,ICCV ,ICCV
Object Recognition from Local Scale-Invariant Features,David Lowe,1999,2011,ICCV,ICCV
Fast Approximate Energy Minimization via Graph Cuts,"Yuri Boykov, Olga Veksler, and Ramin Zabih",1999,2011,ICCV,ICCV
Geodesic Active Contours,"Vincent Caselles, Ron Kimmel, and Guillermo Sapiro",1995,2011,ICCV,ICCV
Geometric Hashing: A General and Efficient Model-Based Recognition Scheme,Yehezkel Lamdan and Haim J. Wolfson,1988,2009,ICCV,ICCV
Efficient Query Evaluation on Probabilistic Databases,"Nilesh Dalvi, Dan Suciu",2004,2014,VLDB,VLDB
Approximate Frequency Counts over Data Streams,"Gurmeet Singh Manku, Rajeev Motwani",2002,2012,VLDB,VLDB
Generic Schema Matching With Cupid,"Philip A. Bernstein, Jayant Madhavan, Erhard Rahm",2001,2011,VLDB,VLDB
Database replication: a tale of research across communities,"Bettina Kemme, Gustavo Alonso",2000,2010,VLDB,VLDB
Database Architecture Optimized for the New Bottleneck: Memory Access,"Peter A. Boncz, Stefan Manegold, Martin L. Kersten",1999,2009,VLDB,VLDB
A Quantitative Analysis and Performance Study for Similarity-Search Methods in High-Dimensional Spaces,"Stephen Blott, Hans Schek and Roger Weber",1998,2008,VLDB,VLDB
An Efficient Cost-Driven Index Selection Tool for Microsoft SQL Server,"Surajit Chaudhuri, and Vivek Narasayya",1997,2007,VLDB,VLDB
