Paper,Authors,Year of publication,Year of announcement,Venue,Awarded By
BLEU: a Method for Automatic Evaluation of Machine Translation,"Kishore Papineni, Salim Roukos, Todd Ward, and Wei-Jing Zhu",2002,2018,ACL,NAACL
Discriminative Training Methods for Hidden Markov Models: Theory and Experiments with Perceptron Algorithms,Michael Collins,2002,2018,EMNLP,NAACL
Thumbs up? Sentiment Classification using Machine Learning Techniques,"Bo Pang, Lillian Lee, Shivakumar Vaithyanathan",2002,2018,EMNLP,NAACL
Pervasive Computing: Vision and Challenges,M. Satyanarayanan,2001,2018,IEEE Personal Communications,SIGMOBILE
Ad-hoc On-Demand Distance Vector Routing,Charles E. Perkins and Elizabeth M. Royer,1999,2018,WMCSA,SIGMOBILE
Wake on Wireless: An Event Driven Energy Saving Strategy for Battery Operated Devices,"Eugene Shih, Paramvir Bahl and Michael J. Sinclair",2002,2018,ACM MobiCom,SIGMOBILE
Network Information Flow,"Rudolf Ahlswede, Ning Cai,  Shuo-Yen Robert Li and Raymond W. Yeung",2000,2018,IEEE Transactions on Information Theory,SIGMOBILE
CarTel: A Distributed Mobile Sensor Computing System,"Bret Hull, Vladimir Bychkovsky, Yang Zhang, Kevin Chen, Michel Goraczko, Allen K. Miu, Eugene Shih, Hari Balakrishnan and Samuel Madden",2006,2018,ACM SenSys,SIGMOBILE
Improving web search ranking by incorporating user behavior information,"Eugene Agichtein, Eric Brill, and Susan Dumais",2006,2018,SIGIR,SIGIR
Personalizing search via automated analysis of interests and activities,"Jaime Teevan, Susan T. Dumais, Eric Horvitz",2005,2018,SIGIR,SIGIR
Accurately interpreting clickthrough data as implicit feedback,"Thorsten Joachims, Laura Granka, Bing Pan, Helene Hembrooke, and Geri Ga",2005,2018,SIGIR,SIGIR
Stuff I’ve seen: a system for personal information retrieval and re-use,"Susan Dumais, Edward Cutrell, JJ Cadiz, Gavin Jancke, Raman Sarin, and Daniel C. Robbins",2003,2018,SIGIR,SIGIR
Beyond independent relevance: methods and evaluation metrics for subtopic retrieval,"ChengXiang Zhai, William W. Cohen, and John Lafferty",2003,2018,SIGIR,SIGIR
Serializable isolation for snapshot databases,"Michael Cahill, Uwe Röhm, Alan Fekete",2008,2018,SIGMOD,SIGMOD
Fault-tolerance in the Borealis distributed stream processing system,"Magdalena Balazinska, Hari Balakrishnan, Samuel Madden, Michael Stonebraker",2005,2017,SIGMOD,SIGMOD
Provenance Management in Curated Databases,"Peter Buneman, Adriane Chapman, James Cheney",2006,2016,SIGMOD,SIGMOD
Robust and Fast Similarity Search for Moving Object Trajectories,"Lei Chen, M. Tamer Özsu, Vincent Oria",2005,2015,SIGMOD,SIGMOD
Order-Preserving Encryption for Numeric Data,"Rakesh Agrawal, Jerry Kiernan, Ramakrishnan Srikant, Yirong Xu",2004,2014,SIGMOD,SIGMOD
The Design of an Acquisitional Query Processor for Sensor Networks,"Samuel Madden, Michael J. Franklin, Joseph M. Hellerstein, Wei Hong",2003,2013,SIGMOD,SIGMOD
Executing SQL over Encrypted Data in the Database-Service-Provider Model.,"Hakan Hacigumus, Bala Iyer, Chen Li, Sharad Mehrotra",2002,2012,SIGMOD,SIGMOD
"Optimizing Queries Using Materialized Views: A Practical, Scalable Solution",Jonathan Goldstein and Per-Åke Larson,2001,2011,SIGMOD,SIGMOD
NiagaraCQ: A Scalable Continuous Query System for Internet Databases,"Jianjun Chen, David J. DeWitt, Feng Tian, and Yuan Wang",2000,2010,SIGMOD,SIGMOD
Approximate Computation of Multidimensional Aggregates of Sparse Data Using Wavelets,Jeffrey Scott Vitter and Min Wang,1999,2009,SIGMOD,SIGMOD
Integration of Heterogeneous Databases without Common Domains Using Queries Based on Textual Similarity,William W. Cohen ,1998,2008,SIGMOD,SIGMOD
Online Aggregation,"Joseph M. Hellerstein, Peter J. Haas, and Helen J. Wang",1997,2007,SIGMOD,SIGMOD
BIRCH: An Efficient Data Clustering Method for Very Large Databases,"Tian Zhang, Raghu Ramakrishnan, and Miron Livny",1996,2006,SIGMOD,SIGMOD
Implementing Data Cubes Efficiently,"Venky Harinarayan, Anand Rajaraman, and Jeffrey D. Ullman",1996,2006,SIGMOD,SIGMOD
View Maintenance in a Warehousing Environment,"Yue Zhuge, Hector Garcia-Molina, Jennifer Widom, Joachim Hammer",1995,2005,SIGMOD,SIGMOD
From Structured Documents to Novel Query Facilities,"Vassilis Christophides, Serge Abiteboul, Sophie Cluet, and Michel Scholl ",1994,2005,SIGMOD,SIGMOD
Shoring Up Persistent Applications,"Michael J. Carey, David J. DeWitt, Michael J. Franklin, Nancy E. Hall, Mark L. McAuliffe, Jeffrey F. Naughton, Daniel T. Schuh, Marvin H. Solomon, C. K. Tan, Odysseas G. Tsatalos, Seth J. White, and Michael J. Zwilling",1994,2004,SIGMOD,SIGMOD
Mining Association Rules Between Sets of Items in Large Databases,"Rakesh Agrawal, Tomasz Imielinski, and Arun Swami",1993,2003,SIGMOD,SIGMOD
Extensible/Rule Based Query Rewrite Optimization in Starburst,"H. Pirahesh, J. M. Hellerstein, and W. Hasan",1992,2002,SIGMOD,SIGMOD
Querying Object-Oriented Databases,"M. Kifer, W. Kim, and Y. Sagiv",1992,2002,SIGMOD,SIGMOD
Encapsulation of Parallelism in the Volcano Query Processing System.,Goetz Graefe,1990,2000,SIGMOD,SIGMOD
Set-Oriented Production Rules in Relational Database Systems,Jennifer Widom and Shel Finkelstein,1990,2000,SIGMOD,SIGMOD
"F-Logic: A Higher-Order Language for Reasoning About Objects, Inheritance, and Scheme",Michael Kifer and Georg Lausen,1989,1999,SIGMOD,SIGMOD
A Case for Redundant Arrays of Inexpensive Disks (RAID),"David A. Patterson, Garth A. Gibson, and Randy H. Katz",1988,1999,SIGMOD,SIGMOD
Factorization meets the neighborhood: a multifaceted collaborative filtering model,"Yehuda Koren, Google Israel",2008,2018,KDD,SIGKDD
Training Linear SVMs in Linear Time,Thorsten Joachims,2006,2017,KDD,SIGKDD
